anon_id,label,split,call_duration_s,caller_turn_count,agent_turn_count,caller_speech_s,agent_speech_s,caller_speech_ratio,agent_speech_ratio,caller_turn_mean_s,caller_turn_std_s,caller_turn_cv,caller_turn_median_s,caller_turn_p10_s,caller_turn_p90_s,agent_turn_mean_s,agent_turn_std_s,response_count,response_latency_mean_s,response_latency_std_s,response_latency_cv,response_latency_median_s,response_latency_p90_s,caller_pause_mean_s,caller_pause_std_s,caller_pause_cv,overlap_event_count,overlap_total_s,overlap_per_minute,caller_overlap_ratio,caller_interrupts_agent,agent_interrupts_caller,caller_interrupt_rate,agent_interrupt_rate
call_0181ce113ebe,synthetic,train,170.0,10.0,19.0,48.57999999999997,71.70000000000002,0.28576470588235275,0.42176470588235304,4.857999999999997,3.6211429135012083,0.7453978825650907,3.030000000000001,1.661999999999985,9.83,3.7736842105263166,2.4956387443663153,10.0,3.476,0.9626962137663172,0.2769551823263283,3.320000000000009,4.515999999999999,9.464444444444446,4.157785497944013,0.4393058168759815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
call_018c9d3823ac,synthetic,train,128.0,10.0,14.0,43.88000000000003,58.26000000000001,0.34281250000000024,0.4551562500000001,4.3880000000000035,6.382333115718732,1.4544970637462915,1.7400000000000055,0.3920000000000059,11.559999999999993,4.161428571428572,5.021607393686462,6.0,4.386666666666666,4.8347859885992435,1.1021548606229281,2.209999999999998,9.510000000000002,5.737777777777775,4.858892827195601,0.8468248536940439,4.0,3.739999999999995,1.875,0.08523245214220584,4.0,0.0,0.4,0.0
call_01bf49059daf,synthetic,train,216.0,10.0,24.0,73.37999999999997,86.78000000000006,0.3397222222222221,0.40175925925925954,7.3379999999999965,5.925837999810661,0.8075549195708183,6.129999999999992,0.6419999999999959,13.023999999999983,3.615833333333336,2.999799877584428,9.0,4.082222222222221,1.215581961931338,0.2977745687910192,4.0,5.359999999999994,14.462222222222225,7.4644904235956036,0.5161371681957623,1.0,0.6599999999999966,0.2777777777777778,0.00899427636958295,1.0,0.0,0.1,0.0
call_01c3806808d6,synthetic,train,149.0,10.0,23.0,24.380000000000006,73.15999999999998,0.16362416107382555,0.49100671140939584,2.4380000000000006,2.460933969045086,1.009406878197328,1.1099999999999994,0.5260000000000048,5.962000000000001,3.1808695652173906,2.937798514776251,10.0,3.1720000000000015,0.949871570266215,0.29945509781406515,2.7300000000000004,4.480000000000012,10.097777777777777,4.249919679705796,0.42087672884410393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
call_0294f969f98b,synthetic,val,109.0,14.0,20.0,17.200000000000006,55.700000000000024,0.15779816513761474,0.5110091743119268,1.228571428571429,1.1095099120323182,0.903089463282119,0.6100000000000034,0.3859999999999969,2.8960000000000026,2.785000000000001,1.8116056414131636,8.0,2.1474999999999995,0.323564135837089,0.1506701447436969,2.019999999999998,2.572000000000002,6.087692307692307,2.875750480901006,0.47238762006208096,6.0,3.059999999999998,3.302752293577982,0.17790697674418585,6.0,0.0,0.42857142857142855,0.0
call_02c249d2f89d,synthetic,train,146.0,16.0,23.0,28.020000000000024,73.21999999999993,0.19191780821917825,0.501506849315068,1.7512500000000015,1.4165092437043945,0.8088560991888041,1.3700000000000045,0.4299999999999997,3.639999999999997,3.183478260869562,2.37552485494973,13.0,2.746153846153847,0.7159022114306958,0.2606926820335866,2.4000000000000057,3.9720000000000004,7.081333333333332,5.767270719808074,0.8144328826691878,5.0,2.27999999999998,2.0547945205479454,0.08137044967880007,3.0,2.0,0.1875,0.08695652173913043
call_02d28871d7b3,synthetic,train,146.0,11.0,14.0,36.36000000000001,64.62,0.249041095890411,0.4426027397260274,3.305454545454546,2.5307575712220087,0.7656307283674942,3.200000000000003,0.28000000000000114,6.200000000000003,4.615714285714286,4.467790624147964,11.0,3.6872727272727275,1.0602666123462525,0.2875476512773367,3.4399999999999977,4.9,9.692,6.372435641103015,0.6574943913643226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
call_03680846967f,synthetic,train,174.0,10.0,13.0,75.30000000000003,65.76000000000008,0.4327586206896553,0.37793103448275905,7.530000000000003,7.244618692519295,0.9621007559786577,5.290000000000006,0.6720000000000027,17.375999999999998,5.058461538461544,5.266611589355732,9.0,3.2644444444444383,2.5153886870449242,0.7705411226482083,2.1799999999999784,6.443999999999997,9.835555555555551,8.2671385767334,0.8405360053163198,2.0,1.220000000000006,0.6896551724137931,0.01620185922974775,1.0,1.0,0.1,0.07692307692307693
call_04d682ac0cef,human,train,185.0,10.0,32.0,32.83999999999998,119.19999999999996,0.1775135135135134,0.6443243243243241,3.283999999999998,1.877589944583214,0.5717387163773493,4.13999999999999,0.9679999999999986,5.242,3.7249999999999988,2.9442571219239664,9.0,1.0844444444444457,0.20907792864602784,0.19279727026785332,1.039999999999992,1.2800000000000022,12.99777777777778,7.299646532961227,0.5616072730094976,1.0,0.3199999999999932,0.3243243243243243,0.009744214372715998,1.0,0.0,0.1,0.0
call_05d6615469e1,synthetic,train,169.0,27.0,19.0,63.41999999999998,60.88000000000001,0.375266272189349,0.3602366863905326,2.3488888888888884,1.3631807394454578,0.5803513081839698,2.0,0.6919999999999988,4.072000000000005,3.20421052631579,2.9393417017912693,27.0,6.907407407407406,4.870136200538645,0.7050599325176592,6.480000000000004,13.652000000000008,3.611538461538463,6.282155859935402,1.739468076233444,3.0,2.1400000000000006,1.0650887573964496,0.03374329864396092,0.0,3.0,0.0,0.15789473684210525
call_0615c3630150,human,train,146.0,28.0,18.0,50.17999999999997,88.88000000000001,0.3436986301369861,0.6087671232876714,1.7921428571428561,2.0757328432952766,1.1582407256330765,0.8099999999999952,0.32799999999999907,4.6759999999999975,4.937777777777779,3.671329694864662,12.0,2.3683333333333367,2.295349767585666,0.9691835753352552,1.0799999999999996,5.898000000000013,3.2288888888888896,2.9933127113040356,0.9270411012297425,19.0,17.499999999999975,7.808219178082193,0.3487445197289754,16.0,2.0,0.5714285714285714,0.1111111111111111
call_064d8dd77899,synthetic,train,140.0,12.0,17.0,23.6,77.23999999999998,0.1685714285714286,0.5517142857142856,1.9666666666666668,1.5033370288202919,0.7644086587221822,1.3900000000000006,0.3659999999999911,3.968000000000004,4.5435294117647045,3.0093676122410704,9.0,4.159999999999999,1.685018958020618,0.4050526341395717,3.92,6.615999999999995,7.387272727272727,5.608916749911522,0.7592675885925024,3.0,1.4399999999999977,1.2857142857142856,0.06101694915254227,3.0,0.0,0.25,0.0
call_06b5a78ea12e,synthetic,train,133.0,12.0,16.0,51.60000000000001,58.74000000000003,0.38796992481203013,0.4416541353383461,4.300000000000001,6.129388223958407,1.425439121850792,1.009999999999998,0.23399999999999893,14.102000000000004,3.671250000000002,2.821559575394431,5.0,1.7679999999999982,0.22506887834615966,0.1273014017795022,1.7999999999999972,2.0119999999999947,6.4890909090909075,3.6334843146025575,0.559937341841246,7.0,4.980000000000029,3.1578947368421053,0.09651162790697729,7.0,0.0,0.5833333333333334,0.0
call_0847d7417bb1,synthetic,val,115.0,12.0,13.0,26.83999999999999,53.82000000000005,0.23339130434782598,0.4680000000000004,2.236666666666666,2.4515278682668247,1.0960631303726494,1.2699999999999996,0.6399999999999987,5.64,4.140000000000004,3.0035261328593834,12.0,3.4549999999999983,2.4655509864260914,0.7136182305140645,2.6400000000000006,4.476000000000002,6.9327272727272735,6.212616329123551,0.8961287650191326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
call_092aef8d1243,human,train,135.0,27.0,25.0,44.68000000000003,88.14,0.3309629629629632,0.6528888888888889,1.6548148148148158,1.9012556676719186,1.1489235234364765,0.740000000000002,0.32400000000000234,4.807999999999997,3.5256,2.8225068007003973,10.0,0.8320000000000002,0.5518840457922294,0.6633221704233525,0.7800000000000047,1.2459999999999876,3.0999999999999988,4.259227087702108,1.3739442218393902,24.0,19.36,10.666666666666666,0.4333034914950758,17.0,7.0,0.6296296296296297,0.28
call_098d8081babe,synthetic,train,147.0,9.0,17.0,34.840000000000025,67.48,0.2370068027210886,0.4590476190476191,3.871111111111114,1.9738763016767271,0.5098991594457672,3.8200000000000216,0.9,6.515999999999998,3.9694117647058826,2.813514592082577,9.0,3.4866666666666655,0.7119300839579983,0.20418644855391926,3.280000000000001,4.375999999999994,12.482499999999998,6.871356761950289,0.5504792118526168,2.0,0.7000000000000028,0.8163265306122448,0.020091848450057473,0.0,2.0,0.0,0.11764705882352941
call_099dffdf8486,synthetic,train,101.0,12.0,14.0,28.439999999999984,41.86,0.28158415841584145,0.41445544554455443,2.3699999999999988,2.334544923534351,0.9850400521241992,1.3999999999999986,0.35599999999999027,5.176,2.9899999999999998,2.0252654147049474,11.0,3.865454545454547,2.3505680691981428,0.6080961608932164,2.480000000000004,6.219999999999999,5.056363636363638,4.414272868624876,0.8730133325219995,2.0,0.7599999999999909,1.188118811881188,0.026722925457102368,1.0,1.0,0.08333333333333333,0.07142857142857142
call_0a9c546208d1,human,train,117.0,7.0,20.0,19.32000000000002,71.20000000000002,0.1651282051282053,0.6085470085470087,2.760000000000003,1.2291227998629148,0.44533434777641795,2.6600000000000037,1.4400000000000022,4.207999999999999,3.560000000000001,2.5772543529888536,7.0,1.3085714285714278,0.07917946548886264,0.06050832515524441,1.2999999999999972,1.4000000000000012,13.249999999999998,5.835577663493702,0.4404209557353738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
call_0ab7d2a0c0f5,human,train,129.0,17.0,19.0,31.08,69.54,0.24093023255813953,0.5390697674418605,1.828235294117647,2.234531758541551,1.2222342308624958,0.9400000000000001,0.2800000000000006,3.7600000000000025,3.66,2.9345850598822683,12.0,1.6016666666666666,0.8826270761513921,0.5510678935388504,1.4499999999999993,3.149999999999998,5.9725,5.579537951300269,0.9342047637170814,8.0,4.540000000000004,3.7209302325581395,0.1460746460746462,5.0,3.0,0.29411764705882354,0.15789473684210525
call_0cf2f4a71328,synthetic,val,159.0,17.0,19.0,51.52000000000001,65.90000000000002,0.3240251572327045,0.4144654088050316,3.0305882352941182,1.9485272586003648,0.6429534820692197,2.3200000000000074,1.1120000000000019,5.992000000000002,3.46842105263158,2.873086114740505,17.0,5.589411764705882,3.0844590918463104,0.5518396607176098,4.74,9.284,5.939999999999999,7.741898991849478,1.3033499986278585,3.0,1.86000000000001,1.1320754716981132,0.036102484472049876,0.0,3.0,0.0,0.15789473684210525
call_0e101713ee94,synthetic,train,209.0,15.0,28.0,75.68000000000004,94.23999999999997,0.36210526315789493,0.45090909090909076,5.0453333333333354,3.9850752676566694,0.7898537131983353,4.420000000000002,0.7200000000000103,11.152000000000003,3.3657142857142843,2.8674620791756236,14.0,4.524285714285713,5.134839981211983,1.1349504221182156,2.0600000000000023,12.612,6.955714285714284,6.232326685786564,0.8960009611933859,4.0,3.2800000000000082,1.1483253588516746,0.043340380549682964,1.0,3.0,0.06666666666666667,0.10714285714285714
