anon_id,label,split,call_duration_s,caller_turn_count,agent_turn_count,caller_speech_s,agent_speech_s,caller_speech_ratio,agent_speech_ratio,caller_turn_mean_s,caller_turn_std_s,caller_turn_cv,caller_turn_median_s,caller_turn_p10_s,caller_turn_p90_s,agent_turn_mean_s,agent_turn_std_s,response_count,response_latency_mean_s,response_latency_std_s,response_latency_cv,response_latency_median_s,response_latency_p90_s,caller_pause_mean_s,caller_pause_std_s,caller_pause_cv,overlap_event_count,overlap_total_s,overlap_per_minute,caller_overlap_ratio,caller_interrupts_agent,agent_interrupts_caller,caller_interrupt_rate,agent_interrupt_rate,caller_turn_iqr_s,caller_turn_mad_s,caller_short_turn_ratio,caller_long_turn_ratio,caller_duration_delta_mean_s,caller_turns_per_minute,agent_turns_per_minute,speech_balance_ratio,response_latency_iqr_s,response_latency_mad_s,response_under_0_5_ratio,response_under_1_ratio,response_under_2_ratio,response_delta_abs_mean_s,response_latency_trend_s_per_response,clean_response_ratio,response_early_mean_s,response_middle_mean_s,response_late_mean_s,response_late_minus_early_s,caller_speech_early_ratio,caller_speech_middle_ratio,caller_speech_late_ratio,overlap_event_mean_s,overlap_event_p90_s,caller_interrupt_overlap_mean_s,agent_interrupt_overlap_mean_s,vad_caller_dynamic_range_db,vad_agent_dynamic_range_db,vad_caller_echo_removed_per_minute,vad_agent_echo_removed_per_minute
call_0181ce113ebe,synthetic,train,170.22,9.0,12.0,50.180000000000014,75.97999999999996,0.2947949712137235,0.4463635295499939,5.575555555555557,3.5703193480294684,0.6403522146724833,5.1000000000000085,1.7280000000000086,10.155999999999999,6.3316666666666634,3.9857618120281866,9.0,3.0644444444444443,0.5554399879797229,0.18125307802093932,3.1200000000000045,3.6400000000000032,10.4675,2.772452659649936,0.2648629242560245,1.0,0.12000000000000455,0.35248501938667604,0.002391390992427352,0.0,1.0,0.0,0.08333333333333333,5.859999999999999,3.0799999999999983,0.1111111111111111,0.5555555555555556,3.5150000000000015,3.1723651744800843,4.229820232640113,0.39774889029803445,0.6200000000000045,0.42000000000000437,0.0,0.0,0.0,0.697500000000001,0.019333333333332803,1.0,2.7733333333333356,3.6666666666666665,2.7533333333333303,-0.020000000000005347,0.37081424039478317,0.3782164258019033,0.135354247444484,0.12000000000000455,0.12000000000000455,0.0,0.12000000000000455,42.476,38.126000000000005,0.0,0.0
call_018c9d3823ac,synthetic,train,128.22,13.0,11.0,43.76,59.92,0.34128841054437686,0.467321790672282,3.366153846153846,5.632954599035297,1.6734097300607602,1.2199999999999989,0.519999999999996,6.808000000000002,5.447272727272727,5.414675497553078,9.0,5.682222222222222,5.611491736265217,0.9875523196399482,2.1000000000000014,13.563999999999997,4.326666666666667,4.777819121268151,1.1042725241759979,4.0,3.3799999999999955,1.8717828731867103,0.07723948811700172,4.0,0.0,0.3076923076923077,0.0,1.8799999999999955,0.7000000000000028,0.3076923076923077,0.15384615384615385,2.568333333333334,6.083294337856809,5.147402901263454,0.42206790123456783,10.399999999999999,1.759999999999998,0.1111111111111111,0.2222222222222222,0.3333333333333333,3.639999999999998,-0.7619999999999998,0.6923076923076923,2.1000000000000014,11.054999999999998,1.2050000000000018,-0.8949999999999996,0.5095928872250819,0.33270940570893753,0.18156293869911105,0.8449999999999989,1.214,1.0150000000000006,0.0,59.486000000000004,40.269,0.06551240056153487,0.25269068788020593
call_01bf49059daf,synthetic,train,215.9,10.0,12.0,74.68,92.92,0.3459008800370542,0.43038443723946274,7.468000000000001,5.937037645156042,0.7949970065822229,6.2599999999999945,0.6940000000000168,13.163999999999998,7.743333333333333,6.143988028055469,9.0,3.9422222222222243,1.2028279435265887,0.3051141908607467,3.8599999999999994,5.2160000000000055,14.335555555555553,7.446387806045612,0.5194348957867813,1.0,0.700000000000017,0.2779064381658175,0.0093733261917517,1.0,0.0,0.1,0.0,7.375000000000016,4.2599999999999945,0.2,0.6,6.306666666666667,2.779064381658175,3.33487725798981,0.4455847255369928,1.4799999999999898,0.7599999999999767,0.0,0.0,0.0,1.4475000000000033,-0.06266666666666651,0.9,3.3800000000000003,5.530000000000008,3.5700000000000003,0.18999999999999995,0.36127836961556276,0.38128763316350156,0.29513663733209833,0.700000000000017,0.700000000000017,1.0,0.0,56.345,37.14,0.0111162575266327,0.0333487725798981
call_01c3806808d6,synthetic,train,149.12,9.0,12.0,25.98000000000001,78.94000000000001,0.17422210300429192,0.5293723175965666,2.886666666666668,3.023610792119617,1.047440228216957,0.8599999999999994,0.6520000000000039,7.872000000000002,6.578333333333334,4.9606078816568,9.0,2.7555555555555538,0.5480290160832147,0.1988814977721345,2.5,3.1960000000000006,11.18,2.6090994615000738,0.2333720448568939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.899999999999997,0.3200000000000074,0.4444444444444444,0.2222222222222222,3.4825,3.6212446351931327,4.82832618025751,0.24761723217689674,0.34000000000000696,0.13999999999999346,0.0,0.0,0.0,0.3424999999999998,0.06199999999999957,1.0,2.7933333333333317,2.4599999999999986,3.0133333333333305,0.21999999999999886,0.2733369098712447,0.20627682403433484,0.043052575107296154,0.0,0.0,0.0,0.0,46.034,38.44499999999999,0.0,0.0
call_0294f969f98b,synthetic,val,108.78,15.0,16.0,19.55999999999999,59.639999999999986,0.17981246552675118,0.5482625482625482,1.3039999999999994,1.10519259256777,0.8475403317237503,0.7000000000000002,0.4960000000000008,3.047999999999999,3.727499999999999,2.1739350841273977,9.0,1.8111111111111131,0.5847781050097278,0.3228836162630395,1.8000000000000007,2.4080000000000013,5.494285714285715,2.922488456009741,0.5319141755607952,6.0,3.9199999999999884,3.3094318808604526,0.20040899795500972,6.0,0.0,0.4,0.0,0.9900000000000038,0.2199999999999962,0.5333333333333333,0.0,1.3042857142857145,8.273579702151132,8.825151682294539,0.24696969696969695,0.6400000000000059,0.22000000000000242,0.1111111111111111,0.1111111111111111,0.6666666666666666,0.7950000000000041,0.03566666666666744,0.6,1.9600000000000002,1.6300000000000026,1.9500000000000028,-0.009999999999997344,0.20077220077220054,0.13789299503585217,0.2007722007722008,0.6533333333333314,0.7499999999999987,1.9966666666666633,0.0,52.785,39.91199999999999,0.03309431880860452,0.36403750689464975
call_02c249d2f89d,synthetic,train,145.94,14.0,17.0,30.67999999999999,77.21999999999998,0.2102233794710154,0.529121556804166,2.191428571428571,1.8500457799079202,0.8442190651470303,1.519999999999996,0.5660000000000011,4.483999999999998,4.542352941176469,3.2317169529010146,11.0,2.323636363636362,0.2780213440881763,0.11964924823826062,2.240000000000009,2.700000000000003,7.978461538461539,5.505384561644865,0.6900308455590363,5.0,2.8799999999999883,2.0556393038234893,0.09387222946544946,3.0,2.0,0.21428571428571427,0.11764705882352941,2.8850000000000016,0.9499999999999957,0.35714285714285715,0.07142857142857142,1.684615384615387,5.7557900507057695,6.989173632999863,0.2843373493975903,0.20000000000000995,0.10000000000002274,0.0,0.0,0.09090909090909091,0.3020000000000052,-0.053272727272727874,0.7857142857142857,2.6066666666666665,2.2359999999999984,2.1866666666666625,-0.4200000000000039,0.30190489242154306,0.1951486912429764,0.1336165547485268,0.5759999999999976,0.9719999999999956,2.9533333333333283,0.5799999999999983,52.923,38.263000000000005,0.032890228861175826,0.11511580101411541
call_02d28871d7b3,synthetic,train,146.66,9.0,10.0,38.06,67.08,0.2595117959907269,0.45738442656484385,4.228888888888889,2.497574131674546,0.590598191935652,4.899999999999999,0.9920000000000015,6.751999999999995,6.708,4.4866575532349255,9.0,3.235555555555556,0.657454875698892,0.20319690526408063,2.980000000000004,3.955999999999993,11.92,4.8149766354573265,0.40394099290749386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6999999999999886,1.4199999999999946,0.1111111111111111,0.4444444444444444,2.4949999999999988,3.6819855447974907,4.09109504977499,0.3619935324329466,0.7000000000000028,0.4200000000000017,0.0,0.0,0.0,0.6274999999999984,-0.08033333333333399,1.0,3.4466666666666685,3.180000000000002,3.0799999999999983,-0.36666666666667025,0.3146052093276967,0.2547388517659891,0.2091913268784949,0.0,0.0,0.0,0.0,56.774,40.428,0.01636438019909996,0.01636438019909996
call_03680846967f,synthetic,train,173.84,10.0,9.0,76.48,68.23999999999998,0.43994477680625865,0.39254486884491474,7.648000000000001,7.264655256789549,0.9498764718605581,5.409999999999997,0.7779999999999972,17.516,7.58222222222222,6.892594702170947,9.0,3.113333333333336,2.5118740237342925,0.8068117849253609,2.019999999999996,6.284000000000001,9.719999999999999,8.257398029780457,0.8495265462737097,2.0,1.3399999999999963,0.6902899217671421,0.017520920502092002,1.0,1.0,0.1,0.1111111111111111,7.390000000000002,4.079999999999998,0.1,0.5,8.864444444444448,3.451449608835711,3.1063046479521397,0.5284687672747376,0.6199999999999761,0.31999999999997897,0.0,0.0,0.4444444444444444,2.09,-0.40799999999999803,0.9,5.453333333333333,2.066666666666663,1.820000000000012,-3.6333333333333213,0.5613207547169812,0.45881270133456054,0.2997008743672341,0.6699999999999982,0.7739999999999974,4.439999999999998,6.899999999999999,44.948,39.571,0.05522319374137137,0.020708697653014262
call_04d682ac0cef,human,train,185.46,10.0,12.0,34.139999999999986,128.04,0.18408282109349716,0.690391459074733,3.413999999999999,1.8719626064641375,0.5483194512197241,4.2500000000000036,1.1059999999999932,5.38,10.67,7.770265975713663,9.0,0.9399999999999995,0.21374959389175208,0.22739318499122574,0.8800000000000026,1.2000000000000004,12.86888888888889,7.291139896316235,0.5665710504821801,1.0,0.4399999999999977,0.3235198964736331,0.012888107791446921,1.0,0.0,0.1,0.0,3.4449999999999985,1.2899999999999974,0.1,0.2,1.9244444444444473,3.2351989647363313,3.8822387576835973,0.21050684424713276,0.11999999999999034,0.05999999999999517,0.0,0.7777777777777778,1.0,0.22000000000000086,-0.04233333333333438,0.9,0.9800000000000009,0.9350000000000023,0.799999999999983,-0.18000000000001792,0.26140407635069557,0.166612746683921,0.12423164024587499,0.4399999999999977,0.4399999999999977,3.6199999999999903,0.0,54.081,38.979,0.019411193788417987,0.006470397929472662
call_05d6615469e1,synthetic,train,168.76,14.0,9.0,70.02000000000002,64.93999999999998,0.4149087461483766,0.38480682626214735,5.0014285714285736,3.5123086773371672,0.7022610894418784,4.039999999999999,2.266000000000001,7.8220000000000045,7.215555555555554,5.960497949204342,14.0,6.785714285714284,5.637681532440838,0.8308162258333869,3.549999999999997,14.601999999999999,6.727692307692305,7.592958432092153,1.1286126185364513,2.0,1.779999999999987,0.7110689736904481,0.025421308197657616,0.0,2.0,0.0,0.2222222222222222,3.225000000000012,1.6400000000000006,0.0,0.42857142857142855,2.9523076923076976,4.977482815833136,3.199810381607016,0.5188203912270304,7.489999999999997,1.389999999999997,0.0,0.0,0.0,5.072307692307692,0.2832527472527465,1.0,5.12666666666667,7.374285714285712,6.9999999999999964,1.8733333333333269,0.45330647072766067,0.4690684996444656,0.32235126807300346,0.8899999999999935,1.0419999999999974,0.0,2.4399999999999977,50.451,37.946000000000005,0.07821758710594928,0.028442758947617924
